Symbol,Name,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,United States,2021,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,,
AADI,Aadi Bioscience Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,2021,Finance,Finance: Consumer Services
AAGRW,African Agriculture Holdings Inc. Warrant,United States,2021,Finance,Finance: Consumer Services
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,,Real Estate,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Canada,2015,,
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,,
ABLLW,Abacus Life Inc. Warrant,United States,2020,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,,
ABLVW,Able View Global Inc. Warrant,China,,,
ABM,ABM Industries Incorporated Common Stock,United States,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,,
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
